"3937.T","Ｕｂｉｃｏｍホールディングス"
"3939.T","カナミックネットワーク"
"3941.T","レンゴー"
"3946.T","トーモク"
"3950.T","ザ・パック"
"3962.T","チェンジホールディングス"
"3963.T","シンクロ・フード"
"3964.T","オークネット"
"3968.T","セグエグループ"
"3983.T","オロ"
"3984.T","ユーザーローカル"
"3992.T","ニーズウェル"
"3993.T","ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ"
"3994.T","マネーフォワード"
"4004.T","レゾナック・ホールディングス"
"4005.T","住友化学"
"4008.T","住友精化"
"4021.T","日産化学"
"4022.T","ラサ工業"
"4023.T","クレハ"
"4025.T","多木化学"
"4027.T","テイカ"
"4028.T","石原産業"
"4041.T","日本曹達"
"4042.T","東ソー"
"4043.T","トクヤマ"
"4044.T","セントラル硝子"
"4045.T","東亞合成"
"4046.T","大阪ソーダ"
"4047.T","関東電化工業"
"4051.T","ＧＭＯフィナンシャルゲート"
"4053.T","Ｓｕｎ　Ａｓｔｅｒｉｓｋ"
"4061.T","デンカ"
"4062.T","イビデン"
"4063.T","信越化学工業"
"4064.T","日本カーバイド工業"
"4071.T","プラスアルファ・コンサルティング"
"4072.T","電算システムホールディングス"
"4078.T","堺化学工業"
"4082.T","第一稀元素化学工業"
"4088.T","エア・ウォーター"
"4091.T","日本酸素ホールディングス"
"4092.T","日本化学工業"
"4095.T","日本パーカライジング"
"4097.T","高圧ガス工業"
"4099.T","四国化成ホールディングス"
"409A.T","オリオンビール"
"4109.T","ステラ　ケミファ"
"4112.T","保土谷化学工業"
"4114.T","日本触媒"
"4116.T","大日精化工業"
"4118.T","カネカ"
"4151.T","協和キリン"
"417A.T","ブルーゾーンホールディングス"
"4180.T","Ａｐｐｉｅｒ　Ｇｒｏｕｐ"
"4182.T","三菱瓦斯化学"
"4183.T","三井化学"
"4186.T","東京応化工業"
"4187.T","大阪有機化学工業"
"4188.T","三菱ケミカルグループ"
"4189.T","ＫＨネオケム"
"4194.T","ビジョナル"
"4202.T","ダイセル"
"4203.T","住友ベークライト"
"4204.T","積水化学工業"
"4205.T","日本ゼオン"
"4206.T","アイカ工業"
"4208.T","ＵＢＥ"
"4212.T","積水樹脂"
"4216.T","旭有機材"
"4218.T","ニチバン"
"4220.T","リケンテクノス"
"4221.T","大倉工業"
"4228.T","積水化成品工業"
"4229.T","群栄化学工業"
"4246.T","ダイキョーニシカワ"
"4249.T","森六"
"4251.T","恵和"
"4272.T","日本化薬"
"4275.T","カーリット"
"4290.T","プレステージ・インターナショナル"
"429A.T","テクセンドフォトマスク"
"4301.T","アミューズ"
"4307.T","野村総合研究所"
"4310.T","ドリームインキュベータ"
"4318.T","クイック"
"4323.T","日本システム技術"
"4324.T","電通グループ"
"4326.T","インテージホールディングス"
"4331.T","テイクアンドギヴ・ニーズ"
"4333.T","東邦システムサイエンス"
"4337.T","ぴあ"
"4343.T","イオンファンタジー"
"4344.T","ソースネクスト"
"4345.T","シーティーエス"
"4362.T","日本精化"
"4368.T","扶桑化学工業"
"4369.T","トリケミカル研究所"
"4373.T","シンプレクス・ホールディングス"
"4384.T","ラクスル"
"4385.T","メルカリ"
"4390.T","ＩＰＳ"
"4392.T","ＦＩＧ"
"4396.T","システムサポートホールディングス"
"4401.T","ＡＤＥＫＡ"
"4403.T","日油"
"4410.T","ハリマ化成グループ"
"4413.T","ボードルア"
"4432.T","ウイングアーク１ｓｔ"
"4433.T","ヒト・コミュニケーションズ・ホールディングス"
"4443.T","Ｓａｎｓａｎ"
"4446.T","Ｌｉｎｋ－Ｕグループ"
"4449.T","ギフティ"
"4452.T","花王"
"4461.T","第一工業製薬"
"4462.T","石原ケミカル"
"4471.T","三洋化成工業"
"4480.T","メドレー"
"4481.T","ベース"
"4483.T","ＪＭＤＣ"
"4502.T","武田薬品工業"
"4503.T","アステラス製薬"
"4506.T","住友ファーマ"
"4507.T","塩野義製薬"
"4516.T","日本新薬"
"4519.T","中外製薬"
"4521.T","科研製薬"
"4523.T","エーザイ"
"4526.T","理研ビタミン"
"4527.T","ロート製薬"
"4528.T","小野薬品工業"
"4530.T","久光製薬"
"4534.T","持田製薬"
"4536.T","参天製薬"
"4538.T","扶桑薬品工業"
"4540.T","ツムラ"
"4543.T","テルモ"
"4544.T","Ｈ．Ｕ．グループホールディングス"
"4547.T","キッセイ薬品工業"
"4548.T","生化学工業"
"4549.T","栄研化学"
"4552.T","ＪＣＲファーマ"
"4553.T","東和薬品"
"4554.T","富士製薬工業"
"4559.T","ゼリア新薬工業"
"4565.T","ネクセラファーマ"
"4568.T","第一三共"
"4569.T","杏林製薬"
"4574.T","大幸薬品"
"4577.T","ダイト"
"4578.T","大塚ホールディングス"
"4587.T","ペプチドリーム"
"4611.T","大日本塗料"
"4612.T","日本ペイントホールディングス"
"4613.T","関西ペイント"
"4617.T","中国塗料"
"4626.T","太陽ホールディングス"
"4631.T","ＤＩＣ"
"4633.T","サカタインクス"
"4634.T","ａｒｔｉｅｎｃｅ"
"4641.T","アルプス技研"
"4658.T","日本空調サービス"
"4661.T","オリエンタルランド"
"4662.T","フォーカスシステムズ"
"4665.T","ダスキン"
"4666.T","パーク２４"
"4668.T","明光ネットワークジャパン"
"4674.T","クレスコ"
"4676.T","フジ・メディア・ホールディングス"
"4680.T","ラウンドワン"
"4681.T","リゾートトラスト"
"4684.T","オービック"
"4686.T","ジャストシステム"
"4687.T","ＴＤＣソフト"
"4689.T","ＬＩＮＥヤフー"
"4694.T","ビー・エム・エル"
"4704.T","トレンドマイクロ"
"4709.T","ＩＤホールディングス"
"4714.T","リソー教育グループ"
"4718.T","早稲田アカデミー"
"4719.T","アルファシステムズ"
"471A.T","ＮＳグループ"
"4722.T","フューチャー"
"4725.T","ＣＡＣ　Ｈｏｌｄｉｎｇｓ"
"4732.T","ユー・エス・エス"
"4733.T","オービックビジネスコンサルタント"
"4743.T","アイティフォー"
"4751.T","サイバーエージェント"
"4755.T","楽天グループ"
"4763.T","クリーク・アンド・リバー社"
"4765.T","ＳＢＩグローバルアセットマネジメント"
"4768.T","大塚商会"
"4776.T","サイボウズ"
"4784.T","ＧＭＯインターネット"
"4792.T","山田コンサルティンググループ"
"4801.T","セントラルスポーツ"
"4809.T","パラカ"
"4812.T","電通総研"
"4813.T","ＡＣＣＥＳＳ"
"4819.T","デジタルガレージ"
"4820.T","イーエムシステムズ"
"4825.T","ウェザーニューズ"
"4826.T","ＣＩＪ"
"4828.T","ビジネスエンジニアリング"
"4839.T","ＷＯＷＯＷ"
"4845.T","スカラ"
"4847.T","インテリジェント　ウェイブ"
"4848.T","フルキャストホールディングス"
"4849.T","エン"
"4880.T","セルソース"
"4886.T","あすか製薬ホールディングス"
"4887.T","サワイグループホールディングス"
"4901.T","富士フイルムホールディングス"
"4902.T","コニカミノルタ"
"4911.T","資生堂"
"4912.T","ライオン"
"4914.T","高砂香料工業"
"4917.T","マンダム"
"4919.T","ミルボン"
"4922.T","コーセーホールディングス"
"4923.T","コタ"
"4927.T","ポーラ・オルビスホールディングス"
"4928.T","ノエビアホールディングス"
"4931.T","新日本製薬"
"4933.T","Ｉ－ｎｅ"
"4951.T","エステー"
"4956.T","コニシ"
"4958.T","長谷川香料"
"4967.T","小林製薬"
"4968.T","荒川化学工業"
"4971.T","メック"
"4973.T","日本高純度化学"
"4974.T","タカラバイオ"
"4975.T","ＪＣＵ"
"4980.T","デクセリアルズ"
"4985.T","アース製薬"
"4996.T","クミアイ化学工業"
"4997.T","日本農薬"
"5011.T","ニチレキグループ"
"5016.T","ＪＸ金属"
"5019.T","出光興産"
"5020.T","ＥＮＥＯＳホールディングス"
"5021.T","コスモエネルギーホールディングス"
"5032.T","ＡＮＹＣＯＬＯＲ"
"5036.T","日本ビジネスシステムズ"
"5074.T","テスホールディングス"
"5076.T","インフロニア・ホールディングス"
"50765.T","インフロニア・ホールディングス第１回社債型種類株式"
"5101.T","横浜ゴム"
"5105.T","ＴＯＹＯ　ＴＩＲＥ"
"5108.T","ブリヂストン"
"5110.T","住友ゴム工業"
